,book_title,author,book_url,cover_img_url
216,"زندگی، به معنی واقعیِ کلمه",زکریا بَرِت,/book/86379,https://img.taaghche.com/frontCover/86379.jpg
217,این کتاب بهت یاد می ده بهتر بنویسی,نویل مدورا,/book/114007,https://img.taaghche.com/frontCover/114007.jpg
218,هی آدم!,سیده مریم  خامسی,/book/13899,https://img.taaghche.com/frontCover/13899.jpg
219,بصیرت حضرت فاطمه (س),اصغر طاهرزاده,/book/572,https://img.taaghche.com/frontCover/572.jpg
220,بازگشت,میلاد لطفی,/book/16381,https://img.taaghche.com/frontCover/16381.jpg
221,خیابان سرندی,سیلوینا اوکامپو,/book/44543,https://img.taaghche.com/frontCover/44543.jpg
222,Shadow of Solitude,ملیحه ضیائی فشمی,/book/64935,https://img.taaghche.com/frontCover/64935.jpg
223,ادب حضور (دفتر پنجم),محمدتقی فیاض‌بخش,/book/38856,https://img.taaghche.com/frontCover/38856.jpg
224,وقتی بن بست های دنیا ترک می خورند,هستی مرحمتی,/book/119307,https://img.taaghche.com/frontCover/119307.jpg
225,Peter Pan,J. M. Barrie,/book/24128,https://img.taaghche.com/frontCover/24128.jpg
226,مامبای سیاه و عشق صورتی,مهوش توکل,/book/7036,https://img.taaghche.com/frontCover/7036.jpg
227,کوچکترین چیزها را می‌دیدم,ریموند کارور,/book/16207,https://img.taaghche.com/frontCover/16207.jpg
228,شوابی‌ها,هرتا مولر,/book/16146,https://img.taaghche.com/frontCover/16146.jpg
229,رویسا,سارا طهماسبی,/book/142406,https://img.taaghche.com/frontCover/142406.jpg
230,صلوات بر پیامبر عامل قدسی شدن روح,اصغر طاهرزاده,/book/259,https://img.taaghche.com/frontCover/259.jpg
231,"عبد محبوب، جلد ۱؛ بهجت حجت، خلاصه‌ی خوبی‌ها",مرکز تنظیم و نشر آثار حضرت آیت‌الله العظمی بهجت قدس سره,/book/73475,https://img.taaghche.com/frontCover/73475.jpg
232,"گلجان، گلی در جام",فرهاد ساربانی,/book/118748,https://img.taaghche.com/frontCover/118748.jpg
233,مینا,کریستین بوبن,/book/16206,https://img.taaghche.com/frontCover/16206.jpg
234,بایدها و نبایدها,محمد حسینی بهشتی,/book/3037,https://img.taaghche.com/frontCover/3037.jpg
235,الاختیار,سیمین دانشور,/book/69626,https://img.taaghche.com/frontCover/69626.jpg
236,صدای تو خوبست (گفتگو با سهراب سپهری),رضا  حاجی آبادی,/book/7142,https://img.taaghche.com/frontCover/7142.jpg
237,خواجوی کرمانی,خواجوی کرمانی,/book/38753,https://img.taaghche.com/frontCover/38753.jpg
238,پری دریایی و انسان اسبی,آنا رویز,/book/20919,https://img.taaghche.com/frontCover/20919.jpg
239,آش نذری,لیلا خیامی,/book/30147,https://img.taaghche.com/frontCover/30147.jpg
240,شاه نعمت‌الله ولی,نعمت الله ولی ماهانی,/book/38760,https://img.taaghche.com/frontCover/38760.jpg
241,آخرین برگ گل رز,حمیدرضا رضوانی‌اول,/book/86596,https://img.taaghche.com/frontCover/86596.jpg
242,کربلا مبارزه با پوچی ها,اصغر طاهرزاده,/book/285,https://img.taaghche.com/frontCover/285.jpg
243,مقام رسمی,ویلیام سامرست موام,/book/17081,https://img.taaghche.com/frontCover/17081.jpg
244,مروارید سفید,نعیمه جلالی‌نژاد,/book/27105,https://img.taaghche.com/frontCover/27105.jpg
245,میراث کاغذی,احسان عبدی,/book/127758,https://img.taaghche.com/frontCover/127758.jpg
246,اسرار اربعین موسوی (ع)؛ ادب حضور (دفتر چهارم),محمدتقی فیاض‌بخش,/book/36767,https://img.taaghche.com/frontCover/36767.jpg
